18
0	1	9
0	2	16
1	2	2
0	3	25
1	3	3
2	3	20
0	4	6
1	4	24
2	4	5
3	4	4
0	5	41
1	5	16
2	5	27
3	5	25
4	5	28
0	6	40
1	6	19
2	6	1
3	6	48
4	6	47
5	6	36
0	7	49
1	7	24
2	7	44
3	7	10
4	7	28
5	7	20
6	7	33
0	8	16
1	8	9
2	8	34
3	8	32
4	8	25
5	8	33
6	8	45
7	8	0
0	9	47
1	9	39
2	9	28
3	9	1
4	9	48
5	9	11
6	9	45
7	9	12
8	9	34
0	10	20
1	10	11
2	10	18
3	10	36
4	10	35
5	10	32
6	10	8
7	10	15
8	10	50
9	10	6
0	11	26
1	11	10
2	11	35
3	11	19
4	11	10
5	11	39
6	11	34
7	11	39
8	11	25
9	11	35
10	11	23
0	12	26
1	12	36
2	12	19
3	12	32
4	12	9
5	12	38
6	12	10
7	12	24
8	12	18
9	12	50
10	12	21
11	12	0
0	13	27
1	13	7
2	13	21
3	13	23
4	13	11
5	13	33
6	13	7
7	13	10
8	13	7
9	13	33
10	13	10
11	13	47
12	13	5
0	14	32
1	14	19
2	14	41
3	14	15
4	14	26
5	14	16
6	14	3
7	14	45
8	14	44
9	14	2
10	14	46
11	14	8
12	14	16
13	14	20
0	15	10
1	15	38
2	15	14
3	15	20
4	15	2
5	15	22
6	15	3
7	15	9
8	15	47
9	15	10
10	15	46
11	15	16
12	15	4
13	15	49
14	15	32
0	16	24
1	16	33
2	16	11
3	16	6
4	16	44
5	16	37
6	16	10
7	16	40
8	16	17
9	16	2
10	16	10
11	16	19
12	16	39
13	16	1
14	16	2
15	16	24
0	17	34
1	17	46
2	17	19
3	17	32
4	17	47
5	17	30
6	17	4
7	17	15
8	17	27
9	17	19
10	17	11
11	17	43
12	17	48
13	17	16
14	17	22
15	17	33
16	17	44
