14
0	1	29
0	2	48
1	2	39
0	3	20
1	3	50
2	3	45
0	4	2
1	4	45
2	4	35
3	4	45
0	5	3
1	5	27
2	5	11
3	5	48
4	5	45
0	6	24
1	6	8
2	6	7
3	6	27
4	6	44
5	6	39
0	7	47
1	7	37
2	7	37
3	7	3
4	7	14
5	7	5
6	7	5
0	8	24
1	8	22
2	8	34
3	8	15
4	8	6
5	8	8
6	8	40
7	8	47
0	9	25
1	9	23
2	9	37
3	9	48
4	9	5
5	9	47
6	9	37
7	9	22
8	9	37
0	10	39
1	10	15
2	10	24
3	10	7
4	10	22
5	10	42
6	10	13
7	10	5
8	10	13
9	10	15
0	11	21
1	11	15
2	11	9
3	11	16
4	11	2
5	11	27
6	11	43
7	11	15
8	11	26
9	11	32
10	11	48
0	12	39
1	12	12
2	12	21
3	12	24
4	12	35
5	12	34
6	12	47
7	12	16
8	12	7
9	12	2
10	12	23
11	12	21
0	13	31
1	13	8
2	13	8
3	13	37
4	13	23
5	13	36
6	13	29
7	13	40
8	13	31
9	13	26
10	13	12
11	13	24
12	13	47
